Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.22232738441977618,0.3173748837988649,0.27103637284259197,0.1793582825708007
1,0.17040958882142887,0.25728085718129284,0.3839054421255572,0.18840411187172112
2,0.17791792775912757,0.3016047837081221,0.32284981120640865,0.20589626062927305
3,0.23799977084803242,0.3071453676300464,0.3398104516749372,0.11504440984698393
4,0.18056143868928146,0.3402009818473505,0.2677562939389657,0.20452214651928896
5,0.18354611433635537,0.2538028970589588,0.3945657892083181,0.16808519939636773
6,0.2128926533733132,0.30222313312396815,0.34195070200389016,0.15343473747470374
7,0.16608644715903279,0.24985375767700538,0.43019445919984195,0.15386533596411994
8,0.12719315994507646,0.13720648589000115,0.5822907515653116,0.172183922394634
9,0.14839042403746666,0.2760215968031645,0.3675065354356668,0.20808144372370185
10,0.09001209901309895,0.19632232424196056,0.4299339876960607,0.27643324389204804
11,0.14036392455486846,0.24414158996373178,0.4384314283348629,0.17706305714653692
12,0.24539699940819698,0.25871676004621097,0.43953906123803116,0.05083260712184572
13,0.1575473602644549,0.2644324123669532,0.36952041694649973,0.20849981042209204
14,0.3599314457179571,0.3899413965944569,0.1995312259257985,0.041190057766996406
15,0.1879566128844639,0.25070109102173765,0.4415492697866716,0.11979302630712697
16,0.2547911600685863,0.2279124495587455,0.4910394217671664,0.028910141495245855
17,0.1581306177089483,0.21156988588361675,0.44583119524296405,0.184468301164471
18,0.1634081281452207,0.190526354789909,0.5828037488635036,0.05950924967623809
19,0.17497050627730226,0.2500821294676757,0.4316638425354503,0.14328352171957176
20,0.1462439893042607,0.3563813828072695,0.3468333857321053,0.1422789744490085
21,0.18875755743232786,0.23780939547366148,0.4533750030362175,0.12005804405779319
22,0.19715053823932582,0.42852747380267375,0.2304472480398653,0.1425072222834752
23,0.16748983489352662,0.2308801911123733,0.439643935810852,0.1619860381832483
24,0.13726274960701043,0.4331503488921622,0.12696805952998214,0.30028712782993
25,0.17599478505303182,0.25073490422223144,0.4339302006057839,0.13934011011895295
26,0.3357725568824888,0.38346045655369726,0.21055355665130307,0.06789623807952215
27,0.16877590319255578,0.2532172889645118,0.3757472053516484,0.20225960249128394
28,0.33909792311441905,0.37344094347621576,0.21196448998860054,0.06409318887902801
29,0.17218517810007794,0.25131056343124036,0.47485939302059577,0.101644865448086
30,0.18671962990765031,0.20187932115074664,0.46774973386242896,0.1285526478697329
31,0.20166818132558997,0.2792132381709063,0.35130194547127813,0.16781663503222563
32,0.07092671980511028,0.08097904697609923,0.7705532929184596,0.08179943910928607
33,0.17771913011842563,0.27301300044239496,0.3949682293217219,0.15429964011745756
34,0.08078545565340578,0.10299786674636417,0.7273202846620017,0.08411017124939836
35,0.19494906160772577,0.26917620070877124,0.3887519420950418,0.1471227955884612
36,0.22132627547511735,0.24421286748194132,0.40145132738721384,0.1376389525379789
37,0.1687487241819514,0.23726121631200725,0.4591951727585013,0.13195189346113217
38,0.16644786180279345,0.19865069818391312,0.4862343834954329,0.11760272048042915
39,0.17193436423988706,0.2906405556482799,0.3380111514928445,0.19941392861898852
40,0.3983608101182984,0.25573748427997245,0.31511525586778966,0.03564620858385785
41,0.183236113543476,0.24502099500526467,0.41758338361593883,0.15415950783532048
42,0.171223211833735,0.24217763833005376,0.4462704642315066,0.12520764896150652
